E0_band10,E0_band11
1266.148259004390,1249.929942647800
1266.145845690180,1249.937766127700
1266.143431092420,1249.945668909800
1266.141020633620,1249.953637416520
1266.138609814250,1249.961693128620
1266.136202424040,1249.969806297480
1266.133796388750,1249.978009932680
1266.131392941210,1249.986276291260
1266.128992956560,1249.994625344250
1266.126594910290,1250.003044779010
1266.124202177140,1250.011538791730
1266.121810759790,1250.020111162380
1266.119425923700,1250.028750375830
1266.117043487130,1250.037472451280
1266.114666755830,1250.046257076000
1266.112294361980,1250.055132578830
1266.109927340740,1250.064070272890
1266.107567013510,1250.073090134250
1266.105211482540,1250.082181023730
1266.102864042860,1250.091346470690
1266.100520860110,1250.100590112460
1266.098187009210,1250.109900723190
1266.095858482990,1250.119293149610
1266.093538388530,1250.128752698840
1266.091226237650,1250.138298670740
1266.088922413460,1250.147907305920
1266.086627936160,1250.157598020910
1266.084341212310,1250.167358715650
1266.082065522480,1250.177193687130
1266.079797173400,1250.187106782670
1266.077541138490,1250.197086728470
1266.075293747620,1250.207147901500
1266.073058235700,1250.217276022210
1266.070833004790,1250.227488521670
1266.068619227320,1250.237764804570
1266.066416946700,1250.248122379100
1266.064226389750,1250.258550046960
1266.062049739850,1250.269051470530
1266.059884876930,1250.279630004190
1266.057734977370,1250.290275033970
1266.055597017300,1250.300999956790
1266.053474276410,1250.311791769300
1266.051365236340,1250.322667170280
1266.049270932820,1250.333605689750
1266.047192319260,1250.344623972520
1266.045127963950,1250.355711949470
1266.043080674190,1250.366872950000
1266.041048392290,1250.378110833740
1266.039034812500,1250.389414702690
1266.037036261500,1250.400797986600
1266.035056604050,1250.412247205610
1266.033093774830,1250.423777995320
1266.031149124430,1250.435372037460
1266.029223641770,1250.447044746030
1266.027315813720,1250.458786346390
1266.025428591320,1250.470600048160
1266.023559821200,1250.482488571300
1266.021713358610,1250.494443003120
1266.019885141250,1250.506472482780
1266.018078941970,1250.518569442880
1266.016293407850,1250.530748475100
1266.014529634550,1250.542989200760
1266.012789141700,1250.555307000280
1266.011069819430,1250.567693220660
1266.009374808860,1250.580150459230
1266.007701806090,1250.592678430660
1266.006054594650,1250.605277161250
1266.004429411080,1250.617949143610
1266.002829911670,1250.630686053180
1266.001255204100,1250.643502738820
1265.999705958730,1250.656380419790
1265.998183498530,1250.669334083130
1265.996685805190,1250.682354262610
1265.995216253150,1250.695444248470
1265.993772358420,1250.708604055900
1265.992358140790,1250.721833385150
1265.990969720820,1250.735134600520
1265.989611105640,1250.748499704830
1265.988280451140,1250.761941566020
1265.986979061840,1250.775444851520
1265.985706822980,1250.789022549870
1265.984464704090,1250.802665962600
1265.983254289210,1250.816377872520
1265.982073554490,1250.830157965550
1265.980926314650,1250.844006256780
1265.979808896880,1250.857924526900
1265.978725250750,1250.871905880150
1265.977673478290,1250.885962462630
1265.976654837280,1250.900079136130
1265.975669689740,1250.914268016960
1265.974718537560,1250.928521628230
1265.973802620160,1250.942842376200
1265.972920052790,1250.957230537870
1265.972075114220,1250.971685528450
1265.971263658060,1250.986209517460
1265.970490111670,1251.000795138520
1265.969752092640,1251.015453522970
1265.969051104200,1251.030171555370
1265.968387498180,1251.044960191630
1265.967761788140,1251.059812291160
1265.967175071520,1251.074730153040
1265.966625624190,1251.089713442170
1265.966117939100,1251.104762191810
1265.965647161860,1251.119875427740
1265.965217685820,1251.135051569650
1265.964827981060,1251.150300567250
1265.964479192630,1251.165607459360
1265.964172198940,1251.180983093850
1265.963906980660,1251.196421382310
1265.963684684520,1251.211924094180
1265.963503404300,1251.227490895510
1265.963367454430,1251.243121832850
1265.963272533970,1251.258818470780
1265.963222834360,1251.274575165230
1265.963217002630,1251.290402365810
1265.963255914990,1251.306286466390
1265.963340204870,1251.322238070980
1265.963470079790,1251.338248664080
1265.963646788240,1251.354326052540
1265.963868148590,1251.370464745440
1265.964138793750,1251.386666345340
1265.964454122980,1251.402932307660
1265.964818707040,1251.419257359130
1265.965230407610,1251.435649914380
1265.965690576110,1251.452100006340
1265.966199079790,1251.468616214710
1265.966756858740,1251.485190629330
1265.967365477470,1251.501830745480
1265.968022724610,1251.518530772230
1265.968732854710,1251.535292621970
1265.969491569720,1251.552117248910
1265.970303295060,1251.569000421560
1265.971164849770,1251.585949846540
1265.972080120830,1251.602955842630
1265.973046869450,1251.620026111240
1265.974066412220,1251.637154485430
1265.975140096480,1251.654346781820
1265.976265591700,1251.671599037810
1265.977447576750,1251.688912225650
1265.978681378820,1251.706287636830
1265.979971808090,1251.723720729120
1265.981315199190,1251.741218242400
1265.982715817100,1251.758772408820
1265.984171148780,1251.776389839660
1265.985682569890,1251.794064870600
1265.987251175310,1251.811802873080
1265.988874876490,1251.829599765460
1265.990558640240,1251.847456931280
1265.992296789560,1251.865372457800
1265.994094169620,1251.883347695730
1265.995948223640,1251.901388488580
1265.997862154730,1251.919484864180
1265.999834661700,1251.937643730040
1266.001866273820,1251.955860114780
1266.003958127120,1251.974139069390
1266.006107862620,1251.992476456030
1266.008320221780,1252.010873719220
1266.010590182370,1252.029331885090
1266.012922355100,1252.047847458040
1266.015313954980,1252.066427682920
1266.017768519650,1252.085062991620
1266.020284006990,1252.103760859300
1266.022861283160,1252.122515495840
1266.025501648660,1252.141332333840
1266.028202292710,1252.160207828620
1266.030968338680,1252.179143105270
